Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
en,and,conjunction,-,-,-,Ik en mijn beste vriend gaan dit weekend samen naar een concert van een bekende Nederlandse band in Amsterdam.,I and my best friend are going to a concert by a well-known Dutch band in Amsterdam together this weekend.,
maar,but,conjunction,-,-,-,"Ik wil heel graag mee naar het strand, maar ik kan helaas niet omdat ik nog veel werk moet afmaken.","I would very much like to go to the beach, but unfortunately I can't because I still have a lot of work to finish.",
omdat,because,conjunction,-,-,-,Ik blijf vandaag thuis omdat het de hele dag regent en ik liever binnen blijf om een goed boek te lezen.,I am staying home today because it is raining all day and I prefer to stay inside to read a good book.,
als,if / when,conjunction,-,-,-,"Als ik dit weekend genoeg tijd heb, ga ik mijn familie in het zuiden van het land een bezoekje brengen.","If I have enough time this weekend, I am going to pay a visit to my family in the south of the country.",
in,in,preposition,-,-,-,"In het huis waar ik vorig jaar woonde, was het altijd erg koud in de winter door de slechte isolatie.","In the house where I lived last year, it was always very cold in the winter due to the poor insulation.",
op,on,preposition,-,-,-,Op de tafel in de woonkamer liggen de documenten die je nodig hebt voor je aanvraag bij de gemeente.,On the table in the living room lie the documents you need for your application at the municipality.,
met,with,preposition,-,-,-,Met een beetje hulp van mijn collega's heb ik het grote project toch nog voor de deadline kunnen afronden.,"With a little help from my colleagues, I was still able to finish the large project before the deadline.",
voor,for,preposition,-,-,-,Voor jou heb ik een klein cadeautje gekocht om je te bedanken voor al je hulp tijdens mijn verhuizing vorige week.,"For you, I bought a small gift to thank you for all your help during my move last week.",
na,after,preposition,-,-,-,Na het werk ga ik meestal direct naar de sportschool om even lekker te ontspannen en mijn hoofd leeg te maken.,After work I usually go directly to the gym to relax and clear my head.,
ja,yes,interjection,-,-,-,"Ja, dat klopt helemaal, ik heb de documenten gisteren al naar de betreffende afdeling van de gemeente gestuurd.","Yes, that's completely correct; I already sent the documents to the relevant department of the municipality yesterday.",
nee,no,interjection,-,-,-,"Nee, dank je wel voor het aanbod, maar ik heb op dit moment echt geen behoefte aan een nieuwe verzekering.","No, thank you for the offer, but I really have no need for a new insurance at this moment.",
misschien,maybe,adverb,-,-,-,Misschien kunnen we morgenmiddag even samen naar de stad gaan om een nieuw cadeau voor zijn verjaardag te zoeken.,Maybe we can go to the city together tomorrow afternoon to look for a new gift for his birthday.,
echt,really,adverb,-,-,-,"Dat is echt waar, ik heb het nieuws zojuist zelf op de officiële website van de overheid gelezen.",That is really true; I just read the news myself on the official government website.,
mensen,people,"noun, plural",-,-,-,Veel mensen wachten hier elke ochtend geduldig op de bus die hen naar het station in het centrum brengt.,Many people wait here patiently every morning for the bus that takes them to the station in the center.,
werk,work,"noun, het",-,-,-,"Ik heb momenteel erg veel werk te doen, waardoor ik helaas niet eerder naar huis kan gaan vandaag.","I currently have a lot of work to do, which means I unfortunately cannot go home earlier today.",
geld,money,"noun, het",-,-,-,"Ik heb momenteel geen geld bij me om te betalen, dus ik moet eerst even langs een pinautomaat lopen.","I currently have no money with me to pay, so I first have to walk past an ATM.",
leven,life,"noun, het",-,-,-,"Het leven in een grote stad is erg levendig en vol mogelijkheden, maar het kan soms ook erg druk zijn.","Life in a big city is very lively and full of possibilities, but it can sometimes be very busy too.",
dag,day,"noun, de",-,-,-,"Goede dag, kan ik u misschien ergens mee helpen of bent u alleen maar even rond aan het kijken?","Good day, can I perhaps help you with something or are you just looking around for a moment?",
ding,thing,"noun, het",-,-,-,"Dat ding dat daar op de kast ligt, is een antiek instrument dat al generaties lang in de familie is.",That thing lying there on the cupboard is an antique instrument that has been in the family for generations.,
vraag,question,"noun, de",-,-,-,Ik heb een dringende vraag over de nieuwe regels die vanaf volgende maand binnen het bedrijf gaan gelden.,I have an urgent question about the new rules that will apply within the company starting next month.,
antwoord,answer,"noun, het",-,-,-,Het antwoord dat hij gaf op mijn vraag was erg duidelijk en hielp mij om de situatie beter te begrijpen.,The answer he gave to my question was very clear and helped me to understand the situation better.,
gebruiken,to use,"verb, regular",gebruik,gebruikte,zal gebruiken,Ik gebruik dit specifieke programma elke dag om mijn taken voor mijn werk op een efficiënte manier uit te voeren.,I use this specific program every day to carry out my tasks for my work in an efficient way.,
vinden,to find,"verb, irregular",vind,vond,zal vinden,Ik vind het erg leuk om nieuwe mensen te ontmoeten en meer te leren over verschillende culturen in de wereld.,I like it very much to meet new people and learn more about different cultures in the world.,
denken,to think,"verb, irregular",denk,dacht,zal denken,Ik denk dat het een verstandig besluit is om eerst de resultaten af te wachten voordat we een keuze maken.,I think it is a wise decision to wait for the results first before we make a choice.,
blijven,to stay,"verb, irregular",blijf,bleef,zal blijven,Ik blijf vanavond gezellig hier bij mijn vrienden om samen naar een spannende film op de televisie te kijken.,I am staying here comfortably with my friends tonight to watch an exciting movie on television together.,
werken,to work,"verb, regular",werk,werkte,zal werken,Ik werk vandaag tot zes uur in de avond omdat ik nog een belangrijk verslag moet afmaken voor mijn team.,I am working until six o'clock in the evening today because I still have to finish an important report for my team.,
spelen,to play,"verb, regular",speel,speelde,zal spelen,De kinderen spelen de hele middag vrolijk buiten in de speeltuin terwijl hun ouders op een bankje zitten te praten.,The children are playing happily in the playground all afternoon while their parents sit on a bench talking.,
leren,to learn,"verb, regular",leer,leerde,zal leren,Ik leer elke dag nieuwe Nederlandse woorden zodat ik me steeds beter kan redden in het dagelijks leven hier.,I learn new Dutch words every day so that I can manage better and better in daily life here.,
spreken,to speak,"verb, irregular",spreek,sprak,zal spreken,"Ik spreek momenteel nog niet vloeiend Nederlands, maar ik doe mijn best om het elke dag te oefenen met collega's.","I don't speak Dutch fluently yet, but I do my best to practice it every day with colleagues.",
luisteren,to listen,"verb, regular",luister,luisterde,zal luisteren,Ik luister nu aandachtig naar de instructies van de docent zodat ik de opdracht zonder fouten kan uitvoeren.,I am listening attentively to the teacher's instructions now so that I can perform the task without mistakes.,
kijken,to look,"verb, regular",kijk,keek,zal kijken,"Kijk daar eens naar die prachtige zonsondergang over de zee, dat zie je echt niet elke dag in de stad.",Look at that beautiful sunset over the sea; you really don't see that every day in the city.,
eten,to eat,"verb, irregular",eet,at,zal eten,Ik eet nu een gezonde salade met gegrilde kip en verse avocado die ik vanochtend zelf heb klaargemaakt.,I am eating a healthy salad with grilled chicken and fresh avocado now that I prepared myself this morning.,
drinken,to drink,"verb, irregular",drink,dronk,zal drinken,Ik drink elke ochtend een groot glas koud water om mijn dag fris en met genoeg energie te kunnen beginnen.,I drink a large glass of cold water every morning to start my day fresh and with enough energy.,
wonen,to live,"verb, regular",woon,woonde,zal wonen,"Ik woon momenteel in een appartement aan de rand van de stad, maar ik zou graag naar het centrum verhuizen.","I currently live in an apartment on the edge of the city, but I would like to move to the center.",
reizen,to travel,"verb, regular",reis,reisde,zal reizen,Ik reis morgenochtend heel vroeg met de trein naar Parijs om daar een paar dagen van mijn vakantie te genieten.,I am traveling to Paris by train very early tomorrow morning to enjoy a few days of my vacation there.,
lopen,to walk,"verb, irregular",loop,liep,zal lopen,Ik loop elke dag na het avondeten een flink rondje door de buurt om in beweging te blijven en te ontspannen.,I walk a good round through the neighborhood every day after dinner to stay active and relax.,
rennen,to run,"verb, regular",ren,rende,zal rennen,Hij rent heel snel naar het station omdat hij bang is dat hij de laatste trein van vanavond gaat missen.,He is running very fast to the station because he is afraid that he will miss the last train of tonight.,
zitten,to sit,"verb, irregular",zit,zat,zal zitten,Ik zit momenteel in de trein op weg naar mijn werk en ik ben een interessant artikel aan het lezen op mijn tablet.,I am currently sitting on the train on my way to work and I am reading an interesting article on my tablet.,
staan,to stand,"verb, irregular",sta,stond,zal staan,Ik sta momenteel buiten te wachten op een taxi omdat mijn auto helaas naar de garage moest voor reparatie.,I am currently standing outside waiting for a taxi because my car unfortunately had to go to the garage for repair.,
liggen,to lie,"verb, irregular",lig,lag,zal liggen,"Het boek dat ik gisteren aan het lezen was, ligt daar nog steeds op de tafel in de woonkamer op je te wachten.",The book I was reading yesterday is still lying there on the table in the living room waiting for you.,
nemen,to take,"verb, irregular",neem,nam,zal nemen,Ik neem elke ochtend de tram naar het station omdat dat de snelste manier is om op mijn werk te komen.,I take the tram to the station every morning because that is the fastest way to get to my work.,
geven,to give,"verb, irregular",geef,gaf,zal geven,"Ik geef je graag wat extra hulp bij het leren van de taal, want ik zie dat je erg hard je best doet.","I would love to give you some extra help with learning the language, because I see that you are trying very hard.",
krijgen,to get / receive,"verb, irregular",krijg,kreeg,zal krijgen,"Ik krijg elke maand mijn salaris op mijn bankrekening gestort, meestal rond de vijfentwintigste van de maand.","I get my salary deposited into my bank account every month, usually around the twenty-fifth of the month.",
houden,to keep / like,"verb, irregular",hou,hield,zal houden,Ik hou echt heel erg veel van jou en ik ben zo blij dat we samen dit nieuwe avontuur in Nederland zijn begonnen.,I really love you very much and I am so happy that we started this new adventure in the Netherlands together.,
brengen,to bring,"verb, irregular",breng,bracht,zal brengen,"Ik breng vanavond wat lekker eten voor je mee wanneer ik uit mijn werk kom, zodat je niet zelf hoeft te koken.","I will bring some nice food for you tonight when I come from work, so you don't have to cook yourself.",
halen,to fetch / get,"verb, regular",haal,haalde,zal halen,Ik haal even een lekkere kop warme koffie voor ons beide voordat we verder gaan met het afmaken van het project.,I'll just get a nice cup of hot coffee for both of us before we continue finishing the project.,
beginnen,to begin,"verb, irregular",begin,begon,zal beginnen,"We beginnen nu direct met de belangrijke presentatie, dus ik vraag iedereen om even stil te zijn en goed op te letten.","We are beginning the important presentation right now, so I ask everyone to be quiet for a moment and pay close attention.",
eindigen,to end,"verb, regular",eindig,eindigde,zal eindigen,"Het officiële gedeelte van het evenement eindigt hier, maar jullie zijn allemaal van harte uitgenodigd voor de borrel achteraf.","The official part of the event ends here, but you are all cordially invited to the drinks afterward.",
helpen,to help,"verb, regular",help,hielp,zal helpen,Ik help je heel graag met het inpakken van je spullen voor de verhuizing die gepland staat voor komend weekend.,I would love to help you pack your things for the move that is planned for next weekend.,
vragen,to ask,"verb, regular",vraag,vroeg,zal vragen,Ik vraag altijd om hulp aan mijn ervaren collega's wanneer ik een bepaalde procedure binnen het bedrijf niet helemaal begrijp.,I always ask my experienced colleagues for help when I don't completely understand a certain procedure within the company.,
antwoorden,to answer,"verb, regular",antwoord,antwoordde,zal antwoorden,"Hij antwoordt meestal erg snel op mijn e-mails, wat erg fijn is voor de voortgang van onze samenwerking aan het project.","He usually answers my emails very quickly, which is very nice for the progress of our cooperation on the project.",
openen,to open,"verb, regular",open,opende,zal openen,Ik open de zware deur voor je zodat je makkelijk naar binnen kunt gaan met al die zware tassen vol boodschappen.,I am opening the heavy door for you so that you can easily go inside with all those heavy bags full of groceries.,
sluiten,to close,"verb, regular",sluit,sloot,zal sluiten,We sluiten de winkel nu omdat het al acht uur in de avond is en de werkdag er officieel op zit.,We are closing the shop now because it is already eight o'clock in the evening and the workday is officially over.,
proberen,to try,"verb, regular",probeer,probeerde,zal proberen,"Ik probeer het elke dag een beetje beter te doen, ook al is het leren van een nieuwe taal soms een grote uitdaging.","I try to do a little better every day, even though learning a new language is sometimes a big challenge.",
begrijpen,to understand,"verb, irregular",begrijp,begreep,zal begrijpen,Ik begrijp het nu eindelijk helemaal na je duidelijke uitleg en de voorbeelden die je me zojuist hebt gegeven.,I finally understand it completely now after your clear explanation and the examples you just gave me.,
voelen,to feel,"verb, irregular",voel,voelde,zal voelen,Ik voel me vandaag gelukkig weer een stuk beter na de rust die ik gisteren heb kunnen nemen op de bank.,"Fortunately, I feel a lot better again today after the rest I was able to take on the couch yesterday.",
geloven,to believe,"verb, regular",geloof,geloofde,zal geloven,"Ik geloof je op je woord, maar ik zou het toch fijn vinden om de officiële documenten ook nog even in te zien.","I believe you on your word, but I would still like to see the official documents as well.",
wachten,to wait,"verb, regular",wacht,wachtte,zal wachten,"Ik wacht hier op de hoek van de straat op je, zodat we samen naar het feestje van onze vrienden kunnen gaan.","I am waiting for you here on the corner of the street, so that we can go to our friends' party together.",
slapen,to sleep,"verb, irregular",slaap,sliep,zal slapen,"Ik slaap nu meestal erg diep omdat ik overdag veel beweeg en gezond eet, wat goed is voor mijn nachtrust.","I usually sleep very deeply now because I move a lot and eat healthily during the day, which is good for my night's rest.",
wakker,awake,adjective,-,-,-,"Ik ben al een tijdje wakker, maar ik lig nog even heerlijk in bed te genieten van de rust van de vroege ochtend.","I have been awake for a while, but I am still lying in bed enjoying the peace of the early morning.",
moe,tired,adjective,-,-,-,"Ik ben erg moe na deze lange en intensieve werkweek, dus ik ga vanavond waarschijnlijk al heel vroeg naar mijn bed.","I am very tired after this long and intensive work week, so I will probably go to bed very early tonight.",
blij,happy,adjective,-,-,-,Ik ben ontzettend blij met de nieuwe kansen die ik krijg bij dit bedrijf en ik kijk uit naar de toekomst hier.,I am incredibly happy with the new opportunities I am getting at this company and I look forward to the future here.,
boos,angry,adjective,-,-,-,Hij is erg boos omdat zijn belangrijke afspraak op het laatste moment werd afgezegd zonder een duidelijke reden te geven.,He is very angry because his important appointment was canceled at the last minute without giving a clear reason.,
bang,afraid,adjective,-,-,-,"Ik ben absoluut niet bang voor honden, zolang ze maar rustig zijn en niet tegen me opspringen wanneer ik langsloop.","I am absolutely not afraid of dogs, as long as they are calm and don't jump up at me when I walk past.",
makkelijk,easy,adjective,-,-,-,Dit onderdeel van de grammatica is gelukkig vrij makkelijk te begrijpen als je de basisregels eenmaal goed uit je hoofd hebt geleerd.,"Fortunately, this part of the grammar is quite easy to understand once you have memorized the basic rules well.",
nieuw,new,adjective,-,-,-,"Een nieuw huis in deze populaire buurt is erg duur, maar het is de investering volgens veel mensen meer dan waard.","A new house in this popular neighborhood is very expensive, but according to many people, it is more than worth the investment.",
oud,old,adjective,-,-,-,"Een oud boek kan soms heel waardevol zijn, vooral als het in goede staat verkeert en een zeldzame eerste druk is.","An old book can sometimes be very valuable, especially if it is in good condition and is a rare first edition.",
veel,much / many,adjective,-,-,-,Veel mensen in deze stad maken elke dag gebruik van de fiets om naar hun werk of naar school te gaan.,Many people in this city make use of the bicycle every day to go to work or to school.,
weinig,little / few,adjective,-,-,-,Ik heb momenteel helaas erg weinig tijd om hobby's uit te oefenen door de drukte op mijn nieuwe werkplek deze maand.,I unfortunately have very little time at the moment to practice hobbies due to the busyness at my new workplace this month.,
meer,more,adverb,-,-,-,Ik wil graag meer leren over de Nederlandse cultuur en tradities zodat ik me hier sneller helemaal thuis kan gaan voelen.,I would like to learn more about Dutch culture and traditions so that I can feel completely at home here faster.,
minder,less,adverb,-,-,-,Ik probeer de laatste tijd minder suiker te eten omdat ik gezonder wil leven en me fitter wil gaan voelen overdag.,I have been trying to eat less sugar lately because I want to live healthier and want to feel fitter during the day.,
hetzelfde,the same,pronoun,-,-,-,"Hetzelfde probleem deed zich gisteren ook al voor bij een andere klant, dus we moeten het systeem grondig gaan nakijken.","The same problem occurred yesterday with another customer as well, so we have to check the system thoroughly.",
anders,different,adjective,-,-,-,Dat is een heel anders perspectief op de situatie dan ik tot nu toe had gehoord van mijn andere collega's op kantoor.,That is a very different perspective on the situation than I had heard so far from my other colleagues at the office.,
iedereen,everyone,pronoun,-,-,-,Iedereen komt morgen naar het gezellige personeelsfeest om samen het succes van het afgelopen jaar met elkaar te gaan vieren.,Everyone is coming to the cozy staff party tomorrow to celebrate the success of the past year together.,
alles,everything,pronoun,-,-,-,Alles is gelukkig goed gegaan tijdens de verhuizing en alle spullen zijn zonder schade aangekomen in ons nieuwe appartement in de stad.,"Fortunately, everything went well during the move and all items arrived without damage at our new apartment in the city.",
niets,nothing,pronoun,-,-,-,"Ik zie momenteel helemaal niets door de dichte mist die over de weg hangt, dus ik moet heel voorzichtig rijden nu.","I see absolutely nothing right now due to the thick fog hanging over the road, so I have to drive very carefully now.",
iets,something,pronoun,-,-,-,"Ik hoor iets vreemds in de motor van mijn auto, dus ik denk dat het verstandig is om even langs de garage te gaan.","I hear something strange in my car's engine, so I think it is wise to stop by the garage for a moment.",
wie,who,pronoun,-,-,-,Wie ben jij precies en voor welke afdeling binnen dit grote internationale bedrijf ga je vanaf volgende week maandag precies werken?,Who exactly are you and for which department within this large international company will you start working next Monday?,
wat,what,pronoun,-,-,-,Wat is dit voor een vreemd object dat ik zojuist op de tafel in de gang van ons kantoorpand heb gevonden?,What is this strange object that I just found on the table in the hallway of our office building?,
waar,where,adverb,-,-,-,Waar ben je momenteel precies? Ik sta al een kwartier op je te wachten bij de hoofdingang van het centraal station.,Where exactly are you right now? I've been waiting for you for fifteen minutes at the main entrance of the central station.,
hoe,how,adverb,-,-,-,Hoe gaat het vandaag met je en heb je gisteren nog een leuke dag gehad met je familie in het mooie Utrecht?,How are you today and did you have a nice day with your family in beautiful Utrecht yesterday?,
dank je,thank you,expression,-,-,-,"Dank je wel voor al je hulp en de duidelijke uitleg, ik waardeer het echt enorm dat je de tijd hebt genomen.",Thank you very much for all your help and the clear explanation; I really appreciate it enormously that you took the time.,
alsjeblieft,please / here you go,expression,-,-,-,"Alsjeblieft, hier zijn de documenten waar je gisteren om had gevraagd voor de voorbereiding van de belangrijke vergadering van morgen.",Here you go; here are the documents you asked for yesterday for the preparation of tomorrow's important meeting.,
tot ziens,goodbye,expression,-,-,-,"Tot ziens, ik hoop je volgende week weer te zien bij de les en ik wens je alvast een heel fijn weekend!","Goodbye, I hope to see you again at the lesson next week and I wish you a very nice weekend in advance!",
hallo,hello,expression,-,-,-,"Hallo, hoe kan ik u vandaag misschien van dienst zijn of bent u op zoek naar een specifiek product in onze winkel?","Hello, how can I be of service to you today or are you looking for a specific product in our store?",
welkom,welcome,expression,-,-,-,"Welkom thuis in je nieuwe huis, ik hoop dat je je hier heel snel op je gemak zult gaan voelen met je gezin.",Welcome home to your new house; I hope you will feel at ease here very quickly with your family.,
natuurlijk,of course,adverb,-,-,-,"Natuurlijk help ik je graag met het tillen van die zware dozen, dat is voor mij absoluut geen enkel probleem om te doen.",Of course I'll help you carry those heavy boxes; that is absolutely no problem at all for me to do.,
samen,together,adverb,-,-,-,Samen werken aan een project is vaak veel leuker en efficiënter dan wanneer iedereen alleen aan zijn eigen taken zit te werken.,Working together on a project is often much more fun and efficient than when everyone is working on their own tasks alone.,
alleen,alone / only,adverb,-,-,-,Ik ben vanavond helaas alleen thuis omdat mijn partner een belangrijke afspraak heeft voor zijn werk in een andere stad.,I am unfortunately alone at home tonight because my partner has an important appointment for his work in another city.,
terug,back,adverb,-,-,-,Ik ga morgenochtend direct weer terug naar de stad om de laatste spullen op te halen die ik nodig heb voor de verhuizing.,I am going back to the city directly tomorrow morning to pick up the last things I need for the move.,
weg,away,adverb,-,-,-,"Ga alsjeblieft even weg uit deze kamer, want ik moet me echt heel goed kunnen concentreren op dit moeilijke rapport.","Please go away from this room for a moment, because I really need to be able to concentrate very well on this difficult report.",
klaar,ready,adjective,-,-,-,Ik ben eindelijk klaar met mijn huiswerk voor de Nederlandse les en ik ga nu lekker even ontspannen voor de televisie.,I am finally finished with my homework for the Dutch lesson and I am going to relax in front of the television now.,
precies,exactly,adverb,-,-,-,Dat is precies wat ik bedoelde te zeggen tijdens de discussie van vanmorgen over de nieuwe plannen voor het bedrijf.,That is exactly what I meant to say during this morning's discussion about the new plans for the company.,
